June 15, 2015   15:19:12
Bulk Electrolysis with Coulometry
File: electrolysis
Data Source:  Experiment
Instrument Model:  CHI601C
Header: 
Note: 

Init E (V) = -1.7
End Current Ratio (%) = 0
Data Storage Interval (s) = 1

Time/sec, Charge/C, Current/A

1.000, 1.060e-2, 1.060e-2
2.000, 1.998e-2, 9.381e-3
3.000, 2.914e-2, 9.159e-3
4.000, 3.816e-2, 9.018e-3
5.000, 4.713e-2, 8.978e-3
6.000, 5.608e-2, 8.943e-3
7.000, 6.497e-2, 8.893e-3
8.000, 7.385e-2, 8.877e-3
9.000, 8.269e-2, 8.847e-3
10.000, 9.154e-2, 8.843e-3
11.000, 1.004e-1, 8.821e-3
12.000, 1.092e-1, 8.829e-3
13.000, 1.180e-1, 8.853e-3
14.000, 1.269e-1, 8.819e-3
15.000, 1.357e-1, 8.829e-3
16.000, 1.446e-1, 8.863e-3
17.000, 1.534e-1, 8.858e-3
18.000, 1.623e-1, 8.851e-3
19.000, 1.711e-1, 8.839e-3
20.000, 1.799e-1, 8.835e-3
21.000, 1.888e-1, 8.829e-3
22.000, 1.976e-1, 8.840e-3
23.000, 2.064e-1, 8.821e-3
24.000, 2.153e-1, 8.839e-3
25.000, 2.241e-1, 8.844e-3
26.000, 2.329e-1, 8.801e-3
27.000, 2.417e-1, 8.831e-3
28.000, 2.506e-1, 8.835e-3
29.000, 2.594e-1, 8.827e-3
30.000, 2.682e-1, 8.838e-3
31.000, 2.771e-1, 8.823e-3
32.000, 2.859e-1, 8.807e-3
33.000, 2.947e-1, 8.828e-3
34.000, 3.035e-1, 8.822e-3
35.000, 3.123e-1, 8.810e-3
36.000, 3.211e-1, 8.818e-3
37.000, 3.300e-1, 8.815e-3
38.000, 3.388e-1, 8.815e-3
39.000, 3.476e-1, 8.810e-3
40.000, 3.564e-1, 8.808e-3
41.000, 3.652e-1, 8.817e-3
42.000, 3.740e-1, 8.811e-3
43.000, 3.828e-1, 8.780e-3
44.000, 3.916e-1, 8.812e-3
45.000, 4.004e-1, 8.798e-3
46.000, 4.092e-1, 8.802e-3
47.000, 4.180e-1, 8.806e-3
48.000, 4.268e-1, 8.787e-3
49.000, 4.356e-1, 8.797e-3
50.000, 4.444e-1, 8.814e-3
51.000, 4.532e-1, 8.790e-3
52.000, 4.620e-1, 8.782e-3
53.000, 4.708e-1, 8.800e-3
54.000, 4.796e-1, 8.791e-3
55.000, 4.884e-1, 8.795e-3
56.000, 4.972e-1, 8.796e-3
57.000, 5.060e-1, 8.782e-3
58.000, 5.147e-1, 8.782e-3
59.000, 5.235e-1, 8.794e-3
60.000, 5.323e-1, 8.790e-3
61.000, 5.411e-1, 8.784e-3
62.000, 5.499e-1, 8.760e-3
63.000, 5.586e-1, 8.780e-3
64.000, 5.674e-1, 8.789e-3
65.000, 5.762e-1, 8.782e-3
66.000, 5.850e-1, 8.785e-3
67.000, 5.938e-1, 8.776e-3
68.000, 6.026e-1, 8.778e-3
69.000, 6.113e-1, 8.765e-3
70.000, 6.201e-1, 8.768e-3
71.000, 6.289e-1, 8.780e-3
72.000, 6.377e-1, 8.794e-3
73.000, 6.464e-1, 8.761e-3
74.000, 6.552e-1, 8.781e-3
75.000, 6.640e-1, 8.780e-3
76.000, 6.728e-1, 8.788e-3
77.000, 6.815e-1, 8.774e-3
78.000, 6.903e-1, 8.783e-3
79.000, 6.991e-1, 8.769e-3
80.000, 7.079e-1, 8.784e-3
81.000, 7.167e-1, 8.769e-3
82.000, 7.254e-1, 8.773e-3
83.000, 7.342e-1, 8.790e-3
84.000, 7.430e-1, 8.776e-3
85.000, 7.518e-1, 8.792e-3
86.000, 7.606e-1, 8.794e-3
87.000, 7.694e-1, 8.780e-3
88.000, 7.781e-1, 8.782e-3
89.000, 7.869e-1, 8.777e-3
90.000, 7.957e-1, 8.786e-3
91.000, 8.045e-1, 8.789e-3
92.000, 8.133e-1, 8.786e-3
93.000, 8.221e-1, 8.793e-3
94.000, 8.308e-1, 8.779e-3
95.000, 8.396e-1, 8.790e-3
96.000, 8.484e-1, 8.799e-3
97.000, 8.572e-1, 8.779e-3
98.000, 8.660e-1, 8.791e-3
99.000, 8.748e-1, 8.775e-3
100.000, 8.836e-1, 8.778e-3
101.000, 8.923e-1, 8.771e-3
102.000, 9.011e-1, 8.786e-3
103.000, 9.099e-1, 8.782e-3
104.000, 9.187e-1, 8.763e-3
105.000, 9.274e-1, 8.777e-3
106.000, 9.362e-1, 8.773e-3
107.000, 9.450e-1, 8.779e-3
108.000, 9.538e-1, 8.779e-3
109.000, 9.626e-1, 8.781e-3
110.000, 9.713e-1, 8.790e-3
111.000, 9.801e-1, 8.766e-3
112.000, 9.889e-1, 8.772e-3
113.000, 9.976e-1, 8.762e-3
114.000, 1.006e+0, 8.778e-3
115.000, 1.015e+0, 8.795e-3
116.000, 1.024e+0, 8.791e-3
117.000, 1.033e+0, 8.778e-3
118.000, 1.042e+0, 8.774e-3
119.000, 1.050e+0, 8.778e-3
120.000, 1.059e+0, 8.772e-3
